Cost,County,hour,minute,am/pm,Time
65,NY,0,0,A,0
60,NY,0,0,A,0
115,NY,0,0,A,0
115,NY,0,0,A,0
115,NY,0,0,A,0
115,NY,0,0,A,0
45,NY,0,0,A,0
115,NY,0,0,A,0
60,NY,0,0,A,0
115,NY,0,0,A,0
45,NY,0,0,A,0
115,NY,0,0,A,0
115,NY,0,0,A,0
65,NY,0,0,A,0
115,NY,0,0,A,0
65,NY,0,0,A,0
115,NY,0,1,A,1
115,NY,0,1,A,1
95,NY,0,1,A,1
115,NY,0,1,A,1
115,NY,0,1,A,1
115,NY,0,1,A,1
115,NY,0,1,A,1
115,NY,0,1,A,1
115,NY,0,1,A,1
115,NY,0,2,A,2
115,NY,0,2,A,2
65,NY,0,2,A,2
115,NY,0,2,A,2
65,NY,0,2,A,2
115,NY,0,2,A,2
115,NY,0,2,A,2
115,NY,0,2,A,2
115,NY,0,2,A,2
115,NY,0,2,A,2
115,NY,0,3,A,3
115,NY,0,3,A,3
65,NY,0,3,A,3
115,NY,0,3,A,3
115,NY,0,3,A,3
115,NY,0,3,A,3
115,NY,0,3,A,3
115,NY,0,3,A,3
115,NY,0,3,A,3
65,NY,0,3,A,3
115,NY,0,4,A,4
115,NY,0,4,A,4
65,NY,0,4,A,4
95,NY,0,4,A,4
115,NY,0,4,A,4
115,NY,0,4,A,4
115,NY,0,4,A,4
95,NY,0,4,A,4
65,NY,0,4,A,4
115,NY,0,4,A,4
115,NY,0,4,A,4
65,NY,0,4,A,4
115,NY,0,5,A,5
60,NY,0,5,A,5
115,NY,0,5,A,5
115,NY,0,5,A,5
65,NY,0,5,A,5
115,NY,0,5,A,5
65,NY,0,5,A,5
95,NY,0,5,A,5
65,NY,0,5,A,5
115,NY,0,5,A,5
115,NY,0,5,A,5
115,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
95,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
165,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
65,NY,0,6,A,6
115,NY,0,6,A,6
115,NY,0,7,A,7
65,NY,0,7,A,7
65,NY,0,7,A,7
60,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
65,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
65,NY,0,7,A,7
65,NY,0,7,A,7
65,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,7,A,7
115,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,8,A,8
65,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,8,A,8
65,NY,0,8,A,8
65,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,8,A,8
65,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,8,A,8
115,NY,0,8,A,8
65,NY,0,9,A,9
115,NY,0,9,A,9
115,NY,0,9,A,9
115,NY,0,9,A,9
115,NY,0,9,A,9
65,NY,0,9,A,9
65,NY,0,9,A,9
65,NY,0,9,A,9
65,NY,0,9,A,9
115,NY,0,9,A,9
60,NY,0,9,A,9
65,NY,0,9,A,9
115,NY,0,9,A,9
115,NY,0,9,A,9
115,NY,0,9,A,9
65,NY,0,9,A,9
65,NY,0,9,A,9
115,NY,0,9,A,9
65,NY,0,9,A,9
115,NY,0,9,A,9
115,NY,0,9,A,9
65,NY,0,9,A,9
115,NY,0,10,A,10
65,NY,0,10,A,10
115,NY,0,10,A,10
35,NY,0,10,A,10
115,NY,0,10,A,10
65,NY,0,10,A,10
115,NY,0,10,A,10
60,NY,0,10,A,10
115,NY,0,10,A,10
95,NY,0,10,A,10
115,NY,0,10,A,10
65,NY,0,10,A,10
115,NY,0,10,A,10
115,NY,0,10,A,10
65,NY,0,10,A,10
115,NY,0,10,A,10
115,NY,0,10,A,10
65,NY,0,10,A,10
65,NY,0,10,A,10
65,NY,0,10,A,10
65,NY,0,10,A,10
65,NY,0,10,A,10
115,NY,0,10,A,10
115,NY,0,10,A,10
60,NY,0,11,A,11
115,NY,0,11,A,11
65,NY,0,11,A,11
65,NY,0,11,A,11
65,NY,0,11,A,11
115,NY,0,11,A,11
115,NY,0,11,A,11
60,NY,0,11,A,11
115,NY,0,11,A,11
115,NY,0,11,A,11
65,NY,0,11,A,11
115,NY,0,11,A,11
65,NY,0,11,A,11
65,NY,0,11,A,11
115,NY,0,11,A,11
115,NY,0,11,A,11
115,NY,0,11,A,11
115,NY,0,11,A,11
115,NY,0,11,A,11
115,NY,0,11,A,11
65,NY,0,11,A,11
65,NY,0,11,A,11
115,NY,0,12,A,12
115,NY,0,12,A,12
65,NY,0,12,A,12
65,NY,0,12,A,12
65,NY,0,12,A,12
65,NY,0,12,A,12
65,NY,0,12,A,12
65,NY,0,12,A,12
115,NY,0,12,A,12
65,NY,0,12,A,12
115,NY,0,12,A,12
