Cost,County,Time
115,Q,0
115,Q,0
45,Q,0
115,Q,0
60,Q,0
95,Q,0
115,Q,0
115,Q,0
115,Q,0
45,Q,0
95,Q,0
45,Q,0
45,Q,0
115,Q,0
65,Q,0
60,Q,0
65,Q,0
115,Q,0
115,Q,0
45,Q,0
95,Q,0
115,Q,0
65,Q,0
60,Q,0
95,Q,0
115,Q,0
65,Q,0
60,Q,0
45,Q,0
65,Q,0
115,Q,1
115,Q,1
65,Q,1
115,Q,1
115,Q,1
65,Q,1
115,Q,1
65,Q,1
60,Q,2
65,Q,2
115,Q,2
115,Q,2
65,Q,2
60,Q,2
115,Q,2
65,Q,2
65,Q,3
115,Q,3
115,Q,3
115,Q,3
65,Q,3
115,Q,3
65,Q,3
65,Q,3
115,Q,3
115,Q,4
65,Q,4
65,Q,4
65,Q,4
65,Q,5
115,Q,5
65,Q,5
115,Q,5
45,Q,5
65,Q,5
95,Q,5
65,Q,5
45,Q,6
65,Q,6
115,Q,6
65,Q,6
65,Q,6
45,Q,6
115,Q,6
115,Q,6
45,Q,6
45,Q,6
115,Q,7
65,Q,7
45,Q,7
65,Q,7
45,Q,7
45,Q,7
115,Q,7
45,Q,7
45,Q,7
45,Q,7
45,Q,8
65,Q,8
45,Q,8
65,Q,8
65,Q,8
45,Q,8
45,Q,8
115,Q,8
115,Q,8
65,Q,8
65,Q,8
45,Q,8
45,Q,8
45,Q,8
45,Q,8
45,Q,9
65,Q,9
65,Q,9
45,Q,9
115,Q,9
45,Q,9
115,Q,9
45,Q,9
65,Q,9
115,Q,9
45,Q,9
60,Q,9
45,Q,9
45,Q,9
65,Q,9
115,Q,10
115,Q,10
115,Q,10
65,Q,10
115,Q,10
45,Q,10
65,Q,10
45,Q,10
65,Q,10
65,Q,10
65,Q,10
45,Q,10
95,Q,10
45,Q,10
45,Q,10
45,Q,10
65,Q,10
65,Q,10
45,Q,10
65,Q,11
45,Q,11
60,Q,11
45,Q,11
45,Q,11
45,Q,11
65,Q,11
45,Q,11
115,Q,11
45,Q,12
115,Q,12
65,Q,12
115,Q,12
115,Q,12
45,Q,12
45,Q,12
45,Q,12
45,Q,12
60,Q,12
45,Q,12
115,Q,13
45,Q,13
65,Q,13
115,Q,13
65,Q,13
165,Q,13
45,Q,13
65,Q,13
115,Q,13
45,Q,13
45,Q,13
115,Q,13
65,Q,13
115,Q,13
45,Q,13
45,Q,14
65,Q,14
45,Q,14
45,Q,14
45,Q,14
65,Q,14
45,Q,14
115,Q,14
60,Q,14
65,Q,14
65,Q,14
45,Q,14
65,Q,14
115,Q,14
65,Q,15
45,Q,15
45,Q,15
65,Q,15
65,Q,15
65,Q,15
45,Q,15
65,Q,15
95,Q,15
65,Q,15
65,Q,15
65,Q,15
115,Q,15
45,Q,15
65,Q,15
115,Q,15
115,Q,15
65,Q,16
115,Q,16
45,Q,16
45,Q,16
45,Q,16
115,Q,16
45,Q,16
45,Q,16
65,Q,16
45,Q,16
65,Q,16
65,Q,17
60,Q,17
65,Q,17
65,Q,17
115,Q,17
45,Q,17
115,Q,17
45,Q,17
65,Q,17
45,Q,17
65,Q,17
115,Q,18
45,Q,18
115,Q,18
65,Q,18
60,Q,18
45,Q,18
45,Q,18
65,Q,18
65,Q,18
65,Q,18
115,Q,18
45,Q,18
60,Q,19
45,Q,19
45,Q,19
65,Q,19
60,Q,19
45,Q,19
45,Q,19
45,Q,19
95,Q,19
115,Q,19
65,Q,19
45,Q,19
65,Q,20
45,Q,20
65,Q,20
45,Q,20
115,Q,20
45,Q,20
60,Q,20
115,Q,20
65,Q,20
45,Q,20
65,Q,20
45,Q,20
45,Q,20
45,Q,20
95,Q,20
115,Q,20
45,Q,20
45,Q,21
115,Q,21
60,Q,21
65,Q,21
65,Q,21
45,Q,21
65,Q,21
45,Q,21
45,Q,21
115,Q,21
45,Q,21
45,Q,21
65,Q,21
45,Q,21
45,Q,21
45,Q,21
45,Q,21
115,Q,21
65,Q,21
115,Q,21
45,Q,22
65,Q,22
65,Q,22
65,Q,22
45,Q,22
60,Q,22
45,Q,22
60,Q,22
65,Q,22
65,Q,22
115,Q,22
45,Q,22
45,Q,22
45,Q,23
45,Q,23
45,Q,23
65,Q,23
65,Q,23
115,Q,23
45,Q,23
95,Q,23
65,Q,23
45,Q,23
45,Q,23
115,Q,23
45,Q,24
115,Q,24
115,Q,24
45,Q,24
45,Q,24
115,Q,24
65,Q,24
115,Q,24
65,Q,24
45,Q,24
65,Q,24
45,Q,24
45,Q,24
115,Q,24
65,Q,24
65,Q,24
65,Q,24
60,Q,24
45,Q,25
115,Q,25
115,Q,25
115,Q,25
65,Q,25
115,Q,25
65,Q,25
115,Q,25
45,Q,25
45,Q,25
115,Q,25
65,Q,25
45,Q,25
45,Q,25
45,Q,25
65,Q,25
45,Q,25
45,Q,25
45,Q,25
115,Q,25
65,Q,25
45,Q,26
45,Q,26
115,Q,26
65,Q,26
115,Q,26
45,Q,26
45,Q,26
45,Q,26
45,Q,26
65,Q,26
45,Q,26
45,Q,26
45,Q,26
45,Q,26
65,Q,26
45,Q,26
45,Q,26
115,Q,26
45,Q,27
115,Q,27
65,Q,27
115,Q,27
115,Q,27
45,Q,27
115,Q,27
65,Q,27
45,Q,27
65,Q,27
65,Q,27
65,Q,27
115,Q,28
115,Q,28
60,Q,28
45,Q,28
115,Q,28
65,Q,28
115,Q,28
45,Q,28
115,Q,28
65,Q,28
65,Q,28
95,Q,29
45,Q,29
45,Q,29
45,Q,29
45,Q,29
45,Q,29
165,Q,29
115,Q,29
45,Q,29
115,Q,29
115,Q,29
65,Q,30
65,Q,30
65,Q,30
65,Q,30
65,Q,30
45,Q,30
45,Q,30
45,Q,30
65,Q,30
65,Q,30
95,Q,30
65,Q,30
45,Q,30
45,Q,30
45,Q,30
115,Q,30
45,Q,30
115,Q,30
65,Q,30
115,Q,30
65,Q,30
60,Q,30
60,Q,30
115,Q,30
95,Q,30
115,Q,31
65,Q,31
65,Q,31
65,Q,31
45,Q,31
60,Q,31
45,Q,31
95,Q,31
45,Q,32
45,Q,32
45,Q,32
45,Q,32
60,Q,32
45,Q,32
115,Q,32
65,Q,32
115,Q,32
45,Q,32
60,Q,32
65,Q,32
65,Q,32
65,Q,32
45,Q,32
115,Q,33
60,Q,33
115,Q,33
65,Q,33
60,Q,33
45,Q,33
45,Q,33
45,Q,33
45,Q,33
165,Q,33
65,Q,33
65,Q,33
115,Q,33
115,Q,33
65,Q,33
45,Q,34
65,Q,34
95,Q,34
45,Q,34
45,Q,34
45,Q,34
65,Q,34
95,Q,34
45,Q,34
65,Q,35
45,Q,35
115,Q,35
65,Q,35
115,Q,35
65,Q,35
45,Q,35
65,Q,35
115,Q,35
65,Q,36
65,Q,36
65,Q,36
115,Q,36
45,Q,36
45,Q,36
65,Q,36
115,Q,36
45,Q,36
65,Q,36
115,Q,36
65,Q,37
45,Q,37
45,Q,37
45,Q,37
115,Q,37
65,Q,37
115,Q,37
45,Q,37
115,Q,37
95,Q,37
65,Q,37
60,Q,37
115,Q,37
95,Q,37
45,Q,37
65,Q,37
45,Q,38
45,Q,38
65,Q,38
45,Q,38
65,Q,38
65,Q,38
45,Q,38
45,Q,38
65,Q,38
45,Q,39
115,Q,39
45,Q,39
65,Q,39
65,Q,39
65,Q,39
45,Q,39
115,Q,39
115,Q,39
95,Q,39
45,Q,39
45,Q,39
65,Q,40
45,Q,40
115,Q,40
115,Q,40
45,Q,40
115,Q,40
45,Q,40
45,Q,40
45,Q,40
115,Q,40
45,Q,40
65,Q,40
115,Q,40
95,Q,40
65,Q,40
115,Q,40
65,Q,40
115,Q,40
65,Q,40
65,Q,41
45,Q,41
45,Q,41
45,Q,41
60,Q,41
45,Q,41
45,Q,41
95,Q,41
65,Q,42
45,Q,42
115,Q,42
65,Q,42
115,Q,42
115,Q,42
65,Q,42
60,Q,42
45,Q,42
60,Q,42
65,Q,42
45,Q,42
45,Q,42
45,Q,42
95,Q,42
115,Q,43
45,Q,43
45,Q,43
65,Q,43
60,Q,43
45,Q,43
45,Q,43
45,Q,43
65,Q,43
45,Q,43
45,Q,43
65,Q,43
65,Q,43
45,Q,43
115,Q,43
45,Q,43
115,Q,43
95,Q,43
45,Q,43
65,Q,43
115,Q,43
65,Q,44
95,Q,44
45,Q,44
65,Q,44
115,Q,44
65,Q,44
65,Q,44
65,Q,44
45,Q,44
65,Q,44
60,Q,44
65,Q,44
115,Q,45
65,Q,45
45,Q,45
95,Q,45
115,Q,45
65,Q,45
65,Q,45
95,Q,45
95,Q,45
65,Q,45
45,Q,45
45,Q,46
45,Q,46
60,Q,46
95,Q,46
65,Q,46
45,Q,46
65,Q,46
115,Q,46
45,Q,46
65,Q,46
45,Q,46
115,Q,46
115,Q,46
115,Q,46
60,Q,46
60,Q,46
115,Q,47
65,Q,47
65,Q,47
65,Q,47
45,Q,47
45,Q,47
60,Q,47
60,Q,47
45,Q,47
115,Q,48
95,Q,48
115,Q,48
65,Q,48
60,Q,48
45,Q,48
65,Q,48
65,Q,48
65,Q,48
115,Q,48
115,Q,48
45,Q,48
115,Q,48
65,Q,48
45,Q,48
45,Q,49
65,Q,49
45,Q,49
115,Q,49
115,Q,49
115,Q,49
45,Q,49
65,Q,49
65,Q,49
65,Q,49
95,Q,49
45,Q,49
45,Q,49
45,Q,49
45,Q,49
115,Q,49
115,Q,50
45,Q,50
45,Q,50
95,Q,50
115,Q,50
65,Q,50
65,Q,50
115,Q,50
45,Q,50
65,Q,50
65,Q,50
45,Q,50
45,Q,50
95,Q,50
65,Q,51
65,Q,51
65,Q,51
60,Q,51
45,Q,51
115,Q,51
115,Q,52
45,Q,52
115,Q,52
45,Q,52
45,Q,52
95,Q,52
115,Q,52
45,Q,52
115,Q,52
115,Q,53
65,Q,53
65,Q,53
65,Q,53
60,Q,53
65,Q,53
45,Q,53
115,Q,53
65,Q,53
45,Q,53
65,Q,53
45,Q,53
45,Q,53
45,Q,53
115,Q,53
95,Q,53
65,Q,53
65,Q,54
60,Q,54
165,Q,54
60,Q,54
65,Q,54
45,Q,54
115,Q,54
45,Q,54
65,Q,54
165,Q,55
115,Q,55
65,Q,55
65,Q,55
165,Q,55
65,Q,55
65,Q,55
65,Q,55
65,Q,55
65,Q,55
60,Q,55
45,Q,56
45,Q,56
115,Q,56
65,Q,56
115,Q,56
115,Q,56
65,Q,56
115,Q,56
65,Q,56
115,Q,57
60,Q,57
65,Q,57
45,Q,57
115,Q,57
60,Q,57
115,Q,57
115,Q,57
65,Q,57
65,Q,58
45,Q,58
65,Q,58
45,Q,58
45,Q,58
45,Q,58
115,Q,59
45,Q,59
45,Q,59
65,Q,59
45,Q,59
65,Q,59
95,Q,59
65,Q,59
60,Q,60
65,Q,60
115,Q,60
45,Q,60
65,Q,60
65,Q,60
45,Q,60
115,Q,60
45,Q,60
65,Q,60
115,Q,60
115,Q,60
115,Q,60
95,Q,60
115,Q,60
115,Q,60
65,Q,60
95,Q,60
45,Q,60
95,Q,60
65,Q,60
65,Q,60
95,Q,60
65,Q,60
115,Q,60
65,Q,60
65,Q,60
115,Q,60
65,Q,60
115,Q,60
65,Q,60
65,Q,60
65,Q,60
65,Q,60
65,Q,60
115,Q,60
95,Q,60
115,Q,60
65,Q,60
115,Q,60
95,Q,60
115,Q,60
65,Q,60
60,Q,60
65,Q,60
45,Q,60
65,Q,60
65,Q,60
115,Q,60
115,Q,60
115,Q,60
95,Q,60
115,Q,60
115,Q,60
60,Q,60
115,Q,60
65,Q,60
65,Q,60
115,Q,60
60,Q,60
65,Q,60
60,Q,60
115,Q,60
115,Q,60
45,Q,60
115,Q,60
65,Q,60
115,Q,60
45,Q,60
115,Q,60
45,Q,60
115,Q,60
115,Q,60
65,Q,60
95,Q,60
65,Q,60
95,Q,60
115,Q,60
65,Q,61
95,Q,61
45,Q,61
65,Q,61
115,Q,61
95,Q,61
115,Q,61
60,Q,61
115,Q,61
115,Q,61
115,Q,61
65,Q,61
65,Q,61
65,Q,61
65,Q,61
65,Q,61
65,Q,61
45,Q,61
65,Q,62
35,Q,62
65,Q,62
115,Q,62
65,Q,62
45,Q,62
65,Q,62
115,Q,62
45,Q,62
115,Q,62
115,Q,62
65,Q,62
65,Q,62
115,Q,62
115,Q,62
115,Q,62
115,Q,62
65,Q,62
65,Q,62
95,Q,63
115,Q,63
65,Q,63
115,Q,63
65,Q,63
115,Q,63
65,Q,63
115,Q,63
65,Q,63
65,Q,63
65,Q,63
115,Q,63
60,Q,63
60,Q,63
45,Q,63
95,Q,63
115,Q,63
45,Q,64
115,Q,64
65,Q,64
115,Q,64
115,Q,64
60,Q,64
65,Q,64
65,Q,64
45,Q,64
115,Q,64
115,Q,64
60,Q,64
115,Q,64
45,Q,64
65,Q,64
115,Q,64
45,Q,64
65,Q,65
60,Q,65
95,Q,65
115,Q,65
45,Q,65
115,Q,65
65,Q,65
65,Q,65
65,Q,65
95,Q,65
60,Q,65
65,Q,65
115,Q,65
45,Q,65
115,Q,65
65,Q,65
115,Q,65
65,Q,65
115,Q,65
45,Q,65
65,Q,65
65,Q,65
95,Q,65
45,Q,65
65,Q,65
115,Q,65
65,Q,65
60,Q,65
60,Q,65
115,Q,65
65,Q,65
65,Q,65
95,Q,65
115,Q,65
65,Q,65
115,Q,65
95,Q,65
95,Q,65
95,Q,65
65,Q,65
45,Q,65
115,Q,65
65,Q,65
45,Q,65
115,Q,65
45,Q,65
65,Q,66
95,Q,66
115,Q,66
65,Q,66
115,Q,66
45,Q,66
45,Q,66
60,Q,66
45,Q,66
65,Q,66
115,Q,66
65,Q,66
115,Q,66
65,Q,66
65,Q,66
65,Q,66
45,Q,66
95,Q,66
165,Q,66
115,Q,67
65,Q,67
65,Q,67
115,Q,67
45,Q,67
45,Q,67
115,Q,67
45,Q,67
45,Q,67
65,Q,67
65,Q,67
115,Q,67
115,Q,67
65,Q,67
65,Q,67
45,Q,67
115,Q,67
45,Q,67
65,Q,67
165,Q,67
115,Q,67
115,Q,68
45,Q,68
65,Q,68
65,Q,68
65,Q,68
95,Q,68
45,Q,68
65,Q,68
115,Q,68
115,Q,68
95,Q,68
115,Q,68
115,Q,68
165,Q,68
115,Q,68
65,Q,68
115,Q,68
60,Q,68
45,Q,68
115,Q,68
65,Q,68
115,Q,68
115,Q,68
115,Q,69
65,Q,69
45,Q,69
115,Q,69
115,Q,69
95,Q,69
45,Q,69
