Cost,County,Time
115,BX,0
115,BX,0
60,BX,0
115,BX,0
180,BX,0
60,BX,0
115,BX,0
60,BX,0
115,BX,0
115,BX,0
65,BX,0
115,BX,1
65,BX,1
65,BX,1
60,BX,1
115,BX,1
65,BX,1
65,BX,1
60,BX,1
115,BX,1
115,BX,1
60,BX,2
115,BX,2
65,BX,2
45,BX,2
115,BX,2
165,BX,2
60,BX,3
115,BX,3
65,BX,3
60,BX,3
60,BX,3
115,BX,3
115,BX,3
115,BX,3
115,BX,4
115,BX,4
115,BX,4
115,BX,4
95,BX,4
60,BX,4
115,BX,4
115,BX,4
115,BX,4
65,BX,5
60,BX,5
115,BX,5
60,BX,5
65,BX,5
60,BX,5
45,BX,6
45,BX,6
65,BX,6
45,BX,6
115,BX,6
45,BX,6
65,BX,6
45,BX,6
115,BX,6
65,BX,6
45,BX,6
115,BX,6
45,BX,6
45,BX,6
45,BX,6
45,BX,6
115,BX,6
65,BX,6
115,BX,6
45,BX,6
115,BX,7
115,BX,7
45,BX,7
45,BX,7
115,BX,7
45,BX,7
65,BX,7
45,BX,7
65,BX,7
45,BX,7
60,BX,7
45,BX,7
65,BX,7
65,BX,7
45,BX,7
45,BX,8
45,BX,8
65,BX,8
45,BX,8
45,BX,8
45,BX,8
45,BX,8
45,BX,8
45,BX,8
115,BX,8
45,BX,8
45,BX,8
115,BX,8
60,BX,8
115,BX,8
115,BX,8
45,BX,8
45,BX,8
115,BX,8
45,BX,8
115,BX,8
65,BX,8
45,BX,9
115,BX,9
45,BX,9
60,BX,9
60,BX,9
115,BX,9
45,BX,9
115,BX,9
65,BX,9
45,BX,9
45,BX,9
45,BX,9
45,BX,9
45,BX,9
60,BX,9
65,BX,9
65,BX,9
115,BX,9
60,BX,9
45,BX,9
45,BX,9
45,BX,9
45,BX,9
45,BX,9
115,BX,10
60,BX,10
45,BX,10
115,BX,10
45,BX,10
115,BX,10
115,BX,10
60,BX,10
60,BX,10
65,BX,10
115,BX,10
60,BX,10
45,BX,10
45,BX,10
45,BX,10
45,BX,10
45,BX,10
65,BX,10
115,BX,10
65,BX,10
65,BX,10
65,BX,10
115,BX,10
45,BX,10
115,BX,10
60,BX,11
115,BX,11
45,BX,11
45,BX,11
45,BX,11
65,BX,11
115,BX,11
60,BX,11
65,BX,11
45,BX,11
45,BX,11
45,BX,11
45,BX,11
60,BX,11
60,BX,11
45,BX,11
60,BX,11
60,BX,11
45,BX,11
45,BX,11
45,BX,11
115,BX,12
45,BX,12
60,BX,12
60,BX,12
65,BX,12
115,BX,12
45,BX,12
45,BX,12
45,BX,12
45,BX,12
45,BX,12
60,BX,12
45,BX,12
45,BX,12
115,BX,12
115,BX,12
45,BX,13
45,BX,13
45,BX,13
45,BX,13
65,BX,13
45,BX,13
45,BX,13
115,BX,13
45,BX,13
45,BX,13
115,BX,13
45,BX,13
60,BX,13
45,BX,13
115,BX,13
65,BX,13
115,BX,13
45,BX,13
60,BX,13
45,BX,14
115,BX,14
45,BX,14
45,BX,14
60,BX,14
65,BX,14
65,BX,14
115,BX,14
45,BX,14
115,BX,14
45,BX,14
45,BX,14
60,BX,14
115,BX,14
65,BX,14
65,BX,14
65,BX,14
45,BX,15
45,BX,15
45,BX,15
45,BX,15
65,BX,15
115,BX,15
60,BX,15
45,BX,15
115,BX,15
45,BX,15
65,BX,15
45,BX,15
45,BX,15
45,BX,15
45,BX,15
45,BX,15
115,BX,15
45,BX,15
65,BX,15
115,BX,15
45,BX,16
45,BX,16
45,BX,16
115,BX,16
45,BX,16
115,BX,16
45,BX,16
60,BX,16
45,BX,16
115,BX,16
45,BX,16
115,BX,16
65,BX,16
45,BX,16
115,BX,16
60,BX,16
115,BX,16
45,BX,16
115,BX,16
115,BX,16
115,BX,17
45,BX,17
45,BX,17
115,BX,17
45,BX,17
65,BX,17
65,BX,17
115,BX,17
115,BX,17
95,BX,17
60,BX,17
115,BX,17
60,BX,17
60,BX,17
45,BX,17
60,BX,17
45,BX,17
45,BX,17
115,BX,17
45,BX,17
45,BX,17
60,BX,17
45,BX,17
115,BX,17
45,BX,17
45,BX,18
45,BX,18
65,BX,18
45,BX,18
45,BX,18
65,BX,18
60,BX,18
60,BX,18
45,BX,18
115,BX,18
60,BX,18
60,BX,18
115,BX,18
45,BX,18
60,BX,18
115,BX,18
115,BX,19
45,BX,19
65,BX,19
45,BX,19
45,BX,19
45,BX,19
45,BX,19
115,BX,19
45,BX,19
45,BX,19
60,BX,19
65,BX,19
65,BX,19
45,BX,19
115,BX,19
45,BX,19
115,BX,20
115,BX,20
115,BX,20
65,BX,20
60,BX,20
60,BX,20
115,BX,20
115,BX,20
45,BX,20
45,BX,20
65,BX,20
60,BX,20
60,BX,20
45,BX,20
45,BX,20
115,BX,20
115,BX,21
65,BX,21
45,BX,21
45,BX,21
65,BX,21
115,BX,21
115,BX,21
115,BX,21
115,BX,21
115,BX,21
115,BX,21
60,BX,21
115,BX,21
45,BX,21
115,BX,21
65,BX,21
60,BX,21
45,BX,21
115,BX,21
45,BX,22
45,BX,22
115,BX,22
45,BX,22
65,BX,22
65,BX,22
45,BX,22
115,BX,22
45,BX,22
45,BX,22
115,BX,22
45,BX,22
45,BX,22
115,BX,22
45,BX,22
45,BX,22
115,BX,22
45,BX,22
60,BX,22
115,BX,22
45,BX,22
115,BX,22
45,BX,22
115,BX,23
45,BX,23
115,BX,23
115,BX,23
65,BX,23
65,BX,23
60,BX,23
45,BX,23
65,BX,23
45,BX,23
45,BX,23
65,BX,24
45,BX,24
115,BX,24
45,BX,24
60,BX,24
60,BX,24
45,BX,24
95,BX,24
65,BX,24
45,BX,24
115,BX,24
45,BX,24
60,BX,24
115,BX,24
115,BX,24
65,BX,24
115,BX,24
115,BX,24
45,BX,24
115,BX,25
65,BX,25
115,BX,25
45,BX,25
60,BX,25
45,BX,25
115,BX,25
65,BX,25
45,BX,25
45,BX,25
115,BX,25
115,BX,25
45,BX,25
45,BX,25
65,BX,25
115,BX,25
45,BX,25
45,BX,25
45,BX,25
45,BX,25
45,BX,25
115,BX,25
65,BX,25
