Cost,County,Time
50,NY,61
50,NY,64
50,NY,64
50,NY,66
50,NY,67
50,NY,67
50,NY,72
50,NY,75
50,NY,79
50,NY,81
50,NY,82
50,NY,82
50,NY,87
50,NY,88
50,NY,88
50,NY,89
50,NY,96
50,NY,96
50,NY,99
50,NY,99
50,NY,103
50,NY,104
50,NY,105
50,NY,105
50,NY,106
50,NY,107
50,NY,109
50,NY,110
50,NY,110
50,NY,110
50,NY,114
50,NY,115
50,NY,116
50,NY,117
50,NY,118
50,NY,118
50,NY,119
50,NY,133
50,NY,133
50,NY,135
50,NY,137
50,NY,138
50,NY,139
50,NY,139
50,NY,140
50,NY,141
50,NY,142
50,NY,143
50,NY,144
50,NY,152
50,NY,153
50,NY,153
50,NY,156
50,NY,158
50,NY,161
50,NY,164
50,NY,166
50,NY,167
50,NY,171
50,NY,171
50,NY,172
50,NY,173
50,NY,174
50,NY,174
50,NY,175
50,NY,175
50,NY,177
50,NY,178
50,NY,179
50,NY,180
50,NY,181
50,NY,193
50,NY,193
50,NY,195
50,NY,198
50,NY,200
50,NY,206
50,NY,210
50,NY,213
50,NY,214
50,NY,216
50,NY,217
50,NY,217
50,NY,220
50,NY,221
50,NY,222
50,NY,223
50,NY,225
50,NY,226
50,NY,226
50,NY,229
50,NY,232
50,NY,235
50,NY,236
50,NY,239
50,NY,241
50,NY,244
50,NY,253
50,NY,255
50,NY,255
50,NY,256
50,NY,266
50,NY,266
50,NY,268
50,NY,268
50,NY,271
50,NY,277
50,NY,278
50,NY,278
50,NY,280
50,NY,285
50,NY,286
50,NY,288
50,NY,296
50,NY,297
50,NY,300
50,NY,300
50,NY,303
50,NY,307
50,NY,310
50,NY,312
50,NY,317
50,NY,319
50,NY,319
50,NY,321
50,NY,322
50,NY,325
50,NY,328
50,NY,328
50,NY,328
50,NY,330
50,NY,335
50,NY,335
50,NY,338
50,NY,338
50,NY,339
50,NY,339
50,NY,340
50,NY,341
50,NY,342
50,NY,342
50,NY,342
50,NY,342
50,NY,343
50,NY,344
50,NY,346
50,NY,346
50,NY,347
50,NY,349
50,NY,349
50,NY,350
50,NY,352
50,NY,352
50,NY,352
50,NY,353
50,NY,355
50,NY,356
50,NY,357
50,NY,357
50,NY,358
50,NY,358
50,NY,358
50,NY,358
50,NY,359
50,NY,360
50,NY,362
50,NY,362
50,NY,364
50,NY,364
50,NY,364
50,NY,365
50,NY,367
50,NY,367
50,NY,370
50,NY,370
50,NY,370
50,NY,371
50,NY,372
50,NY,373
50,NY,373
50,NY,373
50,NY,376
50,NY,377
50,NY,378
50,NY,379
50,NY,380
50,NY,380
50,NY,380
50,NY,380
50,NY,380
50,NY,380
50,NY,380
50,NY,385
50,NY,385
50,NY,385
50,NY,387
50,NY,387
50,NY,388
50,NY,388
50,NY,388
50,NY,388
50,NY,389
50,NY,389
50,NY,390
50,NY,391
50,NY,391
50,NY,392
50,NY,392
50,NY,392
50,NY,392
50,NY,392
50,NY,394
50,NY,395
50,NY,396
50,NY,397
50,NY,397
50,NY,397
50,NY,397
50,NY,398
50,NY,400
50,NY,400
50,NY,401
50,NY,402
50,NY,402
50,NY,404
50,NY,404
50,NY,405
50,NY,405
50,NY,407
50,NY,407
50,NY,408
50,NY,408
50,NY,409
50,NY,409
50,NY,409
50,NY,410
50,NY,410
50,NY,412
50,NY,412
50,NY,412
50,NY,413
50,NY,414
50,NY,414
50,NY,415
50,NY,415
50,NY,415
50,NY,415
50,NY,415
50,NY,415
50,NY,415
50,NY,416
50,NY,417
50,NY,417
50,NY,418
50,NY,419
50,NY,419
50,NY,420
50,NY,420
50,NY,420
115,NY,420
115,NY,420
115,NY,420
50,NY,420
50,NY,420
50,NY,420
50,NY,420
50,NY,420
50,NY,420
115,NY,421
115,NY,421
115,NY,421
115,NY,421
115,NY,421
50,NY,421
50,NY,421
50,NY,421
50,NY,421
115,NY,422
50,NY,422
115,NY,422
115,NY,422
115,NY,422
115,NY,422
50,NY,422
50,NY,422
50,NY,422
50,NY,422
50,NY,422
50,NY,422
50,NY,422
115,NY,422
50,NY,422
115,NY,422
50,NY,422
115,NY,423
115,NY,423
115,NY,423
50,NY,423
115,NY,423
50,NY,423
115,NY,423
115,NY,423
50,NY,423
50,NY,423
50,NY,423
115,NY,423
115,NY,423
115,NY,423
50,NY,423
50,NY,423
50,NY,423
50,NY,423
50,NY,423
50,NY,423
115,NY,423
50,NY,423
50,NY,424
115,NY,424
115,NY,424
50,NY,424
50,NY,424
50,NY,424
115,NY,424
50,NY,424
50,NY,424
50,NY,424
50,NY,424
50,NY,424
50,NY,424
50,NY,424
115,NY,425
50,NY,425
50,NY,425
115,NY,425
50,NY,425
115,NY,425
115,NY,425
50,NY,425
50,NY,425
50,NY,425
50,NY,425
50,NY,425
50,NY,425
50,NY,425
50,NY,425
50,NY,425
115,NY,426
115,NY,426
50,NY,426
50,NY,426
50,NY,426
50,NY,426
50,NY,426
50,NY,426
50,NY,426
50,NY,427
50,NY,427
50,NY,427
50,NY,427
50,NY,427
50,NY,427
115,NY,427
115,NY,427
50,NY,427
115,NY,428
115,NY,428
115,NY,428
115,NY,428
50,NY,428
50,NY,428
50,NY,428
50,NY,428
50,NY,428
50,NY,428
115,NY,429
115,NY,429
115,NY,429
115,NY,429
115,NY,429
115,NY,429
50,NY,429
50,NY,429
50,NY,429
50,NY,429
115,NY,430
115,NY,430
115,NY,430
115,NY,430
115,NY,430
115,NY,430
115,NY,430
50,NY,430
50,NY,430
115,NY,430
50,NY,430
50,NY,430
50,NY,430
50,NY,431
115,NY,431
115,NY,431
115,NY,431
50,NY,431
50,NY,431
50,NY,431
50,NY,431
50,NY,431
115,NY,431
50,NY,432
115,NY,432
