Cost,County,Time
115,Q,2130
35,Q,1499
60,Q,1499
95,Q,1499
35,Q,1499
60,Q,1499
115,Q,1499
115,Q,1499
115,Q,1499
35,Q,1499
60,Q,1499
45,Q,1499
115,Q,1499
65,Q,1499
65,Q,1499
65,Q,1499
35,Q,1499
115,Q,1499
65,Q,1499
35,Q,1499
65,Q,1499
35,Q,1499
65,Q,1499
65,Q,1499
35,Q,1499
115,Q,1499
65,Q,1499
115,Q,1499
115,Q,1499
35,Q,1499
35,Q,1499
65,Q,1499
45,Q,1499
65,Q,1499
65,Q,1499
115,Q,1499
60,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
115,Q,1499
115,Q,1499
65,Q,1499
65,Q,1499
35,Q,1499
115,Q,1499
60,Q,1499
65,Q,1499
115,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
60,Q,1499
60,Q,1499
60,Q,1499
115,Q,1499
60,Q,1499
115,Q,1499
115,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
115,Q,1499
115,Q,1499
35,Q,1499
65,Q,1499
35,Q,1499
115,Q,1499
60,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
115,Q,1499
60,Q,1499
35,Q,1499
65,Q,1499
35,Q,1499
65,Q,1499
65,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
60,Q,1499
60,Q,1499
115,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
115,Q,1499
35,Q,1499
65,Q,1499
35,Q,1499
35,Q,1499
65,Q,1499
45,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
60,Q,1499
35,Q,1499
115,Q,1499
115,Q,1499
115,Q,1499
60,Q,1499
115,Q,1499
45,Q,1499
60,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
95,Q,1499
115,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
65,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
60,Q,1499
35,Q,1499
115,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
65,Q,1499
65,Q,1499
65,Q,1499
115,Q,1499
35,Q,1499
65,Q,1499
65,Q,1499
35,Q,1499
65,Q,1499
60,Q,1499
35,Q,1499
60,Q,1499
35,Q,1499
115,Q,1499
115,Q,1499
95,Q,1499
65,Q,1499
35,Q,1499
180,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
115,Q,1499
65,Q,1499
35,Q,1499
65,Q,1499
115,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
35,Q,1499
60,Q,1499
65,Q,1499
115,Q,1499
115,Q,1499
115,Q,1499
35,Q,1499
60,Q,1499
35,Q,1499
65,Q,1499
