Cost,County,Time
50,BK,60
50,BK,60
50,BK,60
50,BK,61
50,BK,61
50,BK,61
50,BK,61
50,BK,61
50,BK,61
50,BK,61
50,BK,61
50,BK,61
50,BK,62
50,BK,62
50,BK,62
50,BK,62
50,BK,62
50,BK,63
50,BK,63
50,BK,63
50,BK,63
50,BK,63
50,BK,63
50,BK,63
50,BK,64
50,BK,64
50,BK,64
50,BK,64
50,BK,65
50,BK,65
50,BK,65
50,BK,65
50,BK,66
50,BK,66
50,BK,66
50,BK,66
50,BK,66
50,BK,67
50,BK,67
50,BK,67
50,BK,67
50,BK,67
50,BK,67
50,BK,68
50,BK,68
50,BK,68
50,BK,68
50,BK,69
50,BK,69
50,BK,69
50,BK,70
50,BK,71
50,BK,71
50,BK,71
50,BK,71
50,BK,71
50,BK,71
50,BK,71
50,BK,71
50,BK,72
50,BK,72
50,BK,72
50,BK,72
50,BK,72
50,BK,73
50,BK,73
50,BK,73
50,BK,73
50,BK,73
50,BK,74
50,BK,74
50,BK,74
50,BK,74
50,BK,74
50,BK,75
50,BK,75
50,BK,75
50,BK,75
50,BK,76
50,BK,76
50,BK,77
50,BK,77
50,BK,77
50,BK,77
50,BK,78
50,BK,78
50,BK,78
50,BK,78
50,BK,78
50,BK,78
50,BK,78
50,BK,79
50,BK,79
50,BK,80
50,BK,81
50,BK,81
50,BK,81
50,BK,81
50,BK,82
50,BK,82
50,BK,82
50,BK,83
50,BK,83
50,BK,83
50,BK,83
50,BK,84
50,BK,84
50,BK,84
50,BK,84
50,BK,84
50,BK,84
50,BK,84
50,BK,85
50,BK,85
50,BK,85
50,BK,85
50,BK,86
50,BK,86
50,BK,87
50,BK,87
50,BK,87
50,BK,87
50,BK,87
50,BK,88
50,BK,88
50,BK,88
50,BK,88
50,BK,88
50,BK,89
50,BK,89
50,BK,89
50,BK,89
50,BK,89
50,BK,90
50,BK,90
50,BK,90
50,BK,90
50,BK,90
50,BK,91
50,BK,91
50,BK,91
50,BK,91
50,BK,91
50,BK,91
50,BK,91
50,BK,92
50,BK,92
50,BK,92
50,BK,92
50,BK,93
50,BK,93
50,BK,94
50,BK,94
50,BK,94
50,BK,94
50,BK,94
50,BK,95
50,BK,95
50,BK,96
50,BK,96
50,BK,96
50,BK,96
50,BK,96
50,BK,97
50,BK,98
50,BK,98
50,BK,99
50,BK,99
50,BK,100
50,BK,100
50,BK,100
50,BK,100
50,BK,101
50,BK,101
50,BK,101
50,BK,101
50,BK,101
50,BK,102
50,BK,102
50,BK,102
50,BK,102
50,BK,102
50,BK,102
50,BK,102
50,BK,103
50,BK,104
50,BK,104
50,BK,104
50,BK,104
50,BK,104
50,BK,105
50,BK,105
50,BK,105
50,BK,105
50,BK,106
50,BK,106
50,BK,107
50,BK,108
50,BK,108
50,BK,108
50,BK,108
50,BK,108
50,BK,108
50,BK,109
50,BK,109
50,BK,109
50,BK,110
50,BK,111
50,BK,111
50,BK,111
50,BK,111
50,BK,111
50,BK,111
50,BK,111
50,BK,112
50,BK,112
50,BK,112
50,BK,112
50,BK,113
50,BK,114
50,BK,114
50,BK,114
50,BK,114
50,BK,114
50,BK,114
50,BK,114
50,BK,115
50,BK,115
50,BK,115
50,BK,116
50,BK,116
50,BK,117
50,BK,117
50,BK,118
50,BK,118
50,BK,118
50,BK,118
50,BK,119
50,BK,119
50,BK,119
50,BK,119
50,BK,119
50,BK,119
50,BK,120
50,BK,120
50,BK,120
50,BK,120
50,BK,120
50,BK,120
50,BK,126
50,BK,127
50,BK,127
50,BK,127
50,BK,127
50,BK,128
50,BK,129
50,BK,129
50,BK,130
50,BK,130
50,BK,131
50,BK,131
50,BK,131
50,BK,132
50,BK,133
50,BK,133
50,BK,133
50,BK,133
50,BK,133
50,BK,133
50,BK,134
50,BK,134
50,BK,134
50,BK,135
50,BK,136
50,BK,136
50,BK,137
50,BK,137
50,BK,138
50,BK,138
50,BK,138
50,BK,138
50,BK,138
50,BK,139
50,BK,140
50,BK,140
50,BK,141
50,BK,143
50,BK,143
50,BK,145
50,BK,146
50,BK,147
50,BK,147
50,BK,147
50,BK,147
50,BK,147
50,BK,148
50,BK,148
50,BK,148
50,BK,148
50,BK,150
50,BK,150
50,BK,150
50,BK,151
50,BK,152
50,BK,152
50,BK,153
50,BK,153
50,BK,154
50,BK,154
50,BK,154
50,BK,154
50,BK,154
50,BK,154
50,BK,155
50,BK,155
50,BK,155
50,BK,155
50,BK,155
50,BK,156
50,BK,156
50,BK,156
50,BK,156
50,BK,156
50,BK,156
50,BK,157
50,BK,157
50,BK,157
50,BK,157
50,BK,158
50,BK,158
50,BK,159
50,BK,159
50,BK,160
50,BK,160
50,BK,160
50,BK,160
50,BK,160
50,BK,160
50,BK,161
50,BK,162
50,BK,162
50,BK,163
50,BK,164
50,BK,165
50,BK,165
50,BK,165
50,BK,165
50,BK,165
50,BK,166
50,BK,166
50,BK,168
50,BK,168
50,BK,169
50,BK,169
50,BK,170
50,BK,170
50,BK,170
50,BK,170
50,BK,171
50,BK,171
50,BK,171
50,BK,172
50,BK,173
50,BK,173
50,BK,173
50,BK,173
50,BK,174
50,BK,174
50,BK,174
50,BK,174
50,BK,174
50,BK,175
50,BK,175
50,BK,175
50,BK,177
50,BK,177
50,BK,177
50,BK,178
50,BK,178
50,BK,178
50,BK,178
50,BK,178
50,BK,178
50,BK,179
50,BK,179
50,BK,179
50,BK,179
50,BK,180
50,BK,180
50,BK,180
50,BK,180
50,BK,181
50,BK,182
50,BK,183
50,BK,183
50,BK,183
50,BK,183
50,BK,183
50,BK,185
50,BK,185
50,BK,185
50,BK,186
50,BK,186
50,BK,187
50,BK,187
50,BK,187
50,BK,187
50,BK,188
50,BK,188
50,BK,189
50,BK,189
50,BK,189
50,BK,189
50,BK,190
50,BK,191
50,BK,191
50,BK,192
50,BK,192
50,BK,193
50,BK,194
