Cost,County,Time
65,ST,0
60,ST,0
95,ST,0
65,ST,10
65,ST,13
65,ST,13
65,ST,15
165,ST,15
65,ST,15
115,ST,15
95,ST,18
115,ST,20
65,ST,20
95,ST,30
65,ST,34
115,ST,37
95,ST,45
115,ST,45
115,ST,45
115,ST,53
65,ST,55
95,ST,55
165,ST,55
95,ST,57
65,ST,60
65,ST,60
65,ST,60
65,ST,60
65,ST,60
45,ST,60
65,ST,60
60,ST,60
115,ST,61
60,ST,61
115,ST,62
65,ST,62
65,ST,64
65,ST,64
165,ST,64
60,ST,65
65,ST,65
60,ST,69
115,ST,70
65,ST,70
95,ST,70
60,ST,70
65,ST,70
115,ST,70
65,ST,71
65,ST,75
45,ST,75
115,ST,75
115,ST,75
115,ST,75
65,ST,75
65,ST,75
65,ST,75
95,ST,75
65,ST,75
115,ST,75
65,ST,75
65,ST,76
65,ST,76
65,ST,77
65,ST,80
115,ST,80
65,ST,80
115,ST,80
65,ST,80
65,ST,81
115,ST,81
65,ST,82
65,ST,82
45,ST,84
115,ST,85
65,ST,85
65,ST,85
65,ST,85
65,ST,85
65,ST,86
65,ST,86
115,ST,87
115,ST,87
65,ST,88
115,ST,88
65,ST,90
45,ST,90
115,ST,90
65,ST,90
115,ST,90
115,ST,90
60,ST,90
115,ST,90
115,ST,90
65,ST,95
95,ST,95
65,ST,95
115,ST,95
65,ST,95
115,ST,95
60,ST,96
95,ST,96
45,ST,96
115,ST,97
115,ST,98
65,ST,98
115,ST,100
115,ST,100
65,ST,100
65,ST,100
115,ST,100
45,ST,100
115,ST,100
65,ST,100
115,ST,101
65,ST,101
45,ST,103
65,ST,104
65,ST,105
115,ST,105
65,ST,105
45,ST,105
165,ST,105
65,ST,105
65,ST,106
65,ST,106
115,ST,107
115,ST,107
115,ST,108
60,ST,109
45,ST,109
45,ST,109
60,ST,110
65,ST,110
65,ST,110
65,ST,110
65,ST,113
115,ST,115
95,ST,115
65,ST,115
95,ST,115
65,ST,118
95,ST,118
65,ST,118
115,ST,119
65,ST,120
65,ST,120
65,ST,120
65,ST,120
65,ST,120
65,ST,120
65,ST,120
60,ST,120
165,ST,120
65,ST,120
65,ST,120
65,ST,123
65,ST,124
65,ST,125
65,ST,125
115,ST,125
115,ST,125
45,ST,125
115,ST,125
65,ST,128
65,ST,128
65,ST,128
65,ST,128
115,ST,129
65,ST,130
65,ST,130
65,ST,130
65,ST,130
95,ST,130
65,ST,130
95,ST,132
65,ST,135
65,ST,135
115,ST,135
65,ST,135
65,ST,135
115,ST,137
65,ST,138
115,ST,138
65,ST,140
115,ST,140
115,ST,140
65,ST,140
45,ST,140
60,ST,141
115,ST,142
115,ST,142
60,ST,142
60,ST,143
115,ST,144
65,ST,145
65,ST,145
115,ST,145
65,ST,145
115,ST,145
115,ST,145
60,ST,145
115,ST,148
115,ST,150
95,ST,150
115,ST,150
65,ST,150
95,ST,150
65,ST,151
65,ST,152
65,ST,152
65,ST,153
65,ST,154
115,ST,154
115,ST,154
65,ST,155
95,ST,155
115,ST,155
115,ST,155
65,ST,155
65,ST,155
65,ST,157
115,ST,157
65,ST,157
165,ST,157
65,ST,158
115,ST,158
115,ST,159
65,ST,159
115,ST,160
65,ST,160
65,ST,160
65,ST,160
65,ST,160
115,ST,162
115,ST,163
65,ST,163
65,ST,166
115,ST,168
60,ST,169
65,ST,172
65,ST,173
65,ST,177
45,ST,177
65,ST,178
65,ST,179
65,ST,179
65,ST,180
95,ST,180
65,ST,180
65,ST,180
115,ST,180
115,ST,180
60,ST,180
65,ST,183
60,ST,185
45,ST,185
65,ST,185
65,ST,185
65,ST,186
65,ST,187
65,ST,189
65,ST,190
65,ST,190
115,ST,190
95,ST,190
65,ST,190
115,ST,190
65,ST,192
65,ST,192
60,ST,195
115,ST,195
65,ST,195
65,ST,195
60,ST,195
65,ST,200
115,ST,203
65,ST,204
115,ST,204
65,ST,205
115,ST,205
65,ST,205
115,ST,205
